type,bom_ref,license-id,group,author,name,version,purl,path,description,vcs-url,vcs-comment,website-url,website-comment,issue-tracker-url,issue-tracker-comment,distribution-url,distribution-comment,hash-alg,hash-value,author-email,deprecated-status,deprecation-reason,timestamp
library,es-set-tostringtag@2.1.0,MIT,,Jordan Harband,es-set-tostringtag,2.1.0,pkg:npm/es-set-tostringtag@2.1.0,node_modules/es-set-tostringtag,A helper to optimistically set Symbol.toStringTag~ when possible.,git+https://github.com/es-shims/es-set-tostringtag.git,"as detected from PackageJson property ""repository.url""",https://github.com/es-shims/es-set-tostringtag#readme,"as detected from PackageJson property ""homepage""",https://github.com/es-shims/es-set-tostringtag/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/es-set-tostringtag/-/es-set-tostringtag-2.1.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,8fabd6cdfac655fc97c607be3b4c79b21e9cbf10288346bfe1175dd8adfacc2315e5e27effeb4e0278113bc70e0cc3566d545d5659866502f6612df247c6c850,ljharb@gmail.com,active,Active in npm registory,2025-01-02T04:44:14.598Z
library,es-errors@1.3.0,MIT,,Jordan Harband,es-errors,1.3.0,pkg:npm/es-errors@1.3.0,node_modules/es-errors,A simple cache for a few of the JS Error constructors.,git+https://github.com/ljharb/es-errors.git,"as detected from PackageJson property ""repository.url""",https://github.com/ljharb/es-errors#readme,"as detected from PackageJson property ""homepage""",https://github.com/ljharb/es-errors/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/es-errors/-/es-errors-1.3.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,65fe47d8ac6ddb18d3bdb26f3f66562c4202c40ea3fa1026333225ca9cb8c5c060d6f2959f1f3d5b2d066d2fa47f9730095145cdd0858765d20853542d2e9cb3,ljharb@gmail.com,active,Active in npm registory,2024-02-05T08:05:51.669Z
library,get-intrinsic@1.3.0,MIT,,Jordan Harband,get-intrinsic,1.3.0,pkg:npm/get-intrinsic@1.3.0,node_modules/get-intrinsic,Get and robustly cache all JS language-level intrinsics at first require time,git+https://github.com/ljharb/get-intrinsic.git,"as detected from PackageJson property ""repository.url""",https://github.com/ljharb/get-intrinsic#readme,"as detected from PackageJson property ""homepage""",https://github.com/ljharb/get-intrinsic/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/get-intrinsic/-/get-intrinsic-1.3.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,f5f4a349aa2cfdf448548a7ec5226513a95fc21112ecb36d29a08121a987b23af69dad418800493e8d263a38f3f062435116ab9823c6a9a89583999f8dbf7c09,ljharb@gmail.com,active,Active in npm registory,2025-02-22T20:54:20.766Z
library,call-bind-apply-helpers@1.0.2,MIT,,Jordan Harband,call-bind-apply-helpers,1.0.2,pkg:npm/call-bind-apply-helpers@1.0.2,node_modules/call-bind-apply-helpers,Helper functions around Function call/apply/bind~ for use in `call-bind`,git+https://github.com/ljharb/call-bind-apply-helpers.git,"as detected from PackageJson property ""repository.url""",https://github.com/ljharb/call-bind-apply-helpers#readme,"as detected from PackageJson property ""homepage""",https://github.com/ljharb/call-bind-apply-helpers/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/call-bind-apply-helpers/-/call-bind-apply-helpers-1.0.2.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,4a9d5a6e52748af0e44b38dc68977112e9cde7f5ef92c149dac30115fabac74af285057fd9bfcac057b6d5c329987b4f3928a3f0af7dff049fa04b9339b9ae31,ljharb@gmail.com,active,Active in npm registory,2025-02-12T19:24:57.167Z
library,function-bind@1.1.2,MIT,,Raynos,function-bind,1.1.2,pkg:npm/function-bind@1.1.2,node_modules/function-bind,Implementation of Function.prototype.bind,git+https://github.com/Raynos/function-bind.git,"as detected from PackageJson property ""repository.url""",https://github.com/Raynos/function-bind,"as detected from PackageJson property ""homepage""",https://github.com/Raynos/function-bind/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/function-bind/-/function-bind-1.1.2.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,ed71cdc47eea5fdc46e66230c6486e993a31fcc21135c3a00ebc56b0cb76a40af6dd61e9e8cad194dec50521690a9afea153b417be38894811f369c931f1b648,raynos2@gmail.com,active,Active in npm registory,2023-10-12T19:08:19.863Z
library,es-define-property@1.0.1,MIT,,Jordan Harband,es-define-property,1.0.1,pkg:npm/es-define-property@1.0.1,node_modules/es-define-property,`Object.defineProperty`~ but not IE 8's broken one.,git+https://github.com/ljharb/es-define-property.git,"as detected from PackageJson property ""repository.url""",https://github.com/ljharb/es-define-property#readme,"as detected from PackageJson property ""homepage""",https://github.com/ljharb/es-define-property/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/es-define-property/-/es-define-property-1.0.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,7b79d17e07d4678acd18bdb7da05205f4e90372c9ecf4e0a76316b17e2d34683979ab3a014a0e0e0109db235bc1274faf5ea9d606991a49c223d560dac2696de,ljharb@gmail.com,active,Active in npm registory,2024-12-06T18:16:02.393Z
library,es-object-atoms@1.1.1,MIT,,Jordan Harband,es-object-atoms,1.1.1,pkg:npm/es-object-atoms@1.1.1,node_modules/es-object-atoms,ES Object-related atoms: Object~ ToObject~ RequireObjectCoercible,git+https://github.com/ljharb/es-object-atoms.git,"as detected from PackageJson property ""repository.url""",https://github.com/ljharb/es-object-atoms#readme,"as detected from PackageJson property ""homepage""",https://github.com/ljharb/es-object-atoms/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/es-object-atoms/-/es-object-atoms-1.1.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,146807da1f3328d8a6f658e3edd6a79053dc20220af42a796e6f9cda041261e3e1a5a1b9f9eb2b2ce0e2848a2b9fe3dee85189cd6857428b4fbfbde34da95d5c,ljharb@gmail.com,active,Active in npm registory,2025-01-15T00:42:43.521Z
library,get-proto@1.0.1,MIT,,Jordan Harband,get-proto,1.0.1,pkg:npm/get-proto@1.0.1,node_modules/get-proto,Robustly get the [[Prototype]] of an object,git+https://github.com/ljharb/get-proto.git,"as detected from PackageJson property ""repository.url""",https://github.com/ljharb/get-proto#readme,"as detected from PackageJson property ""homepage""",https://github.com/ljharb/get-proto/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/get-proto/-/get-proto-1.0.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,b1349f063a17069f3d26f20a21e7eac3b53608279bb1cef892263a6b0886a202ada1219b823604fc6ffe97db05dcc5853cd73d21ca0e0b83837ca1dfc459a9d2,ljharb@gmail.com,active,Active in npm registory,2025-01-02T20:08:03.153Z
library,dunder-proto@1.0.1,MIT,,Jordan Harband,dunder-proto,1.0.1,pkg:npm/dunder-proto@1.0.1,node_modules/dunder-proto,If available~ the `Object.prototype.__proto__` accessor and mutator~ call-bound,git+https://github.com/es-shims/dunder-proto.git,"as detected from PackageJson property ""repository.url""",https://github.com/es-shims/dunder-proto#readme,"as detected from PackageJson property ""homepage""",https://github.com/es-shims/dunder-proto/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/dunder-proto/-/dunder-proto-1.0.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,28837f9c3241411717c3430b561644f62407986ebca80548060f42aa65188e64088608a3f54e4c16faea9142f915bb72cb366e39e3add3375e45ee1463b72df8,ljharb@gmail.com,active,Active in npm registory,2024-12-17T02:12:47.238Z
library,gopd@1.2.0,MIT,,Jordan Harband,gopd,1.2.0,pkg:npm/gopd@1.2.0,node_modules/gopd,`Object.getOwnPropertyDescriptor`~ but accounts for IE's broken implementation.,git+https://github.com/ljharb/gopd.git,"as detected from PackageJson property ""repository.url""",https://github.com/ljharb/gopd#readme,"as detected from PackageJson property ""homepage""",https://github.com/ljharb/gopd/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/gopd/-/gopd-1.2.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,65429187afe4505a0089302d4d83d9277870f70371c7e04804e8a39e51bd3e7ac9b027128ecd70cb20fabc9a5a62d827cc3aca6114aa7f738ee917daf77c6c46,ljharb@gmail.com,active,Active in npm registory,2024-12-04T16:21:52.914Z
library,has-symbols@1.1.0,MIT,,Jordan Harband,has-symbols,1.1.0,pkg:npm/has-symbols@1.1.0,node_modules/has-symbols,Determine if the JS environment has Symbol support. Supports spec~ or shams.,git://github.com/inspect-js/has-symbols.git,"as detected from PackageJson property ""repository.url""",https://github.com/ljharb/has-symbols#readme,"as detected from PackageJson property ""homepage""",https://github.com/ljharb/has-symbols/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/has-symbols/-/has-symbols-1.1.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,d5c0cd77027625aa2199bdec8383a629a301c2e0b8f2c6278b91d4c360efb02f0b8c64cb2bd87e79bd57e91cae3877b8853d142c25baf22a26863528294aa53d,ljharb@gmail.com,active,Active in npm registory,2024-12-02T16:34:17.942Z
library,hasown@2.0.2,MIT,,Jordan Harband,hasown,2.0.2,pkg:npm/hasown@2.0.2,node_modules/hasown,A robust~ ES3 compatible~ has own property predicate.,git+https://github.com/inspect-js/hasOwn.git,"as detected from PackageJson property ""repository.url""",https://github.com/inspect-js/hasOwn#readme,"as detected from PackageJson property ""homepage""",https://github.com/inspect-js/hasOwn/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/hasown/-/hasown-2.0.2.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,d21254f5208fbe633320175916a34f5d66ba76a87b59d1f470823dcbe0b24bcac6de72f8f01725adaf4798a8555541f23d6347e58ef10f0001edb7e04a391431,ljharb@gmail.com,active,Active in npm registory,2024-03-10T17:38:25.538Z
library,math-intrinsics@1.1.0,MIT,,Jordan Harband,math-intrinsics,1.1.0,pkg:npm/math-intrinsics@1.1.0,node_modules/math-intrinsics,ES Math-related intrinsics and helpers~ robustly cached.,git+https://github.com/es-shims/math-intrinsics.git,"as detected from PackageJson property ""repository.url""",https://github.com/es-shims/math-intrinsics#readme,"as detected from PackageJson property ""homepage""",https://github.com/es-shims/math-intrinsics/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/math-intrinsics/-/math-intrinsics-1.1.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,fc85ed6f0124e474cfc84c32297ea11a4617c4cf676e3eb807e8a55499c2fd1e81d291f91b85776f4a556cbec3063e2d921040a696d05257fa17a5e5f4b1eed6,ljharb@gmail.com,active,Active in npm registory,2024-12-19T05:58:10.044Z
library,has-tostringtag@1.0.2,MIT,,Jordan Harband,has-tostringtag,1.0.2,pkg:npm/has-tostringtag@1.0.2,node_modules/has-tostringtag,Determine if the JS environment has `Symbol.toStringTag` support. Supports spec~ or shams.,git+https://github.com/inspect-js/has-tostringtag.git,"as detected from PackageJson property ""repository.url""",https://github.com/inspect-js/has-tostringtag#readme,"as detected from PackageJson property ""homepage""",https://github.com/inspect-js/has-tostringtag/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/has-tostringtag/-/has-tostringtag-1.0.2.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,36a00307c5633c52ccd95d15bc751ec30c2cc3465605a21d828fa2787b4ade16ac2f3e2a78246361ca9f07a010ac182044aa69285f0be76fd5a9d56c3b8ec397,ljharb@gmail.com,active,Active in npm registory,2024-02-01T21:44:00.323Z
library,mime-types@2.1.35,MIT,,,mime-types,2.1.35,pkg:npm/mime-types@2.1.35,node_modules/mime-types,The ultimate javascript content-type utility.,git+https://github.com/jshttp/mime-types.git,"as detected from PackageJson property ""repository.url""",https://github.com/jshttp/mime-types#readme,"as detected from PackageJson property ""homepage""",https://github.com/jshttp/mime-types/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/mime-types/-/mime-types-2.1.35.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,64363e6cf9b9cd34c5f98a42ac053d9cad148080983d3d10b53d4d65616fe2cfbe4cd91c815693d20ebee11dae238323423cf2b07075cf1b962f9d21cda7978b,,active,Active in npm registory,2025-03-26T22:53:48.039Z
library,mime-db@1.52.0,MIT,,,mime-db,1.52.0,pkg:npm/mime-db@1.52.0,node_modules/mime-db,Media Type Database,git+https://github.com/jshttp/mime-db.git,"as detected from PackageJson property ""repository.url""",https://github.com/jshttp/mime-db#readme,"as detected from PackageJson property ""homepage""",https://github.com/jshttp/mime-db/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/mime-db/-/mime-db-1.52.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,b0f538b95edd625bed589c70c311c3d0fba285536213b4f201b439496c43081f66518bce82ba103b061040e28f27c0886c4fb51135653a82b5502da7537818be,,active,Active in npm registory,2025-05-14T14:56:01.096Z
library,proxy-from-env@1.1.0,MIT,,Rob Wu,proxy-from-env,1.1.0,pkg:npm/proxy-from-env@1.1.0,node_modules/proxy-from-env,Offers getProxyForUrl to get the proxy URL for a URL~ respecting the *_PROXY (e.g. HTTP_PROXY) and NO_PROXY environment variables.,git+https://github.com/Rob--W/proxy-from-env.git,"as detected from PackageJson property ""repository.url""",https://github.com/Rob--W/proxy-from-env#readme,"as detected from PackageJson property ""homepage""",https://github.com/Rob--W/proxy-from-env/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/proxy-from-env/-/proxy-from-env-1.1.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,0fece439109b03d7f5b5d5912b445a091dc63efe7470cc5caf3e17f24e4b4d2503d43930e3b98a24465036e9c8b514e45b082d6944a8d515454481bd65788562,rob@robwu.nl,active,Active in npm registory,2022-06-24T21:56:56.683Z
